screen_name,figma_node_id,navigator_key,implementation_file,functional_status,data_source,persistence_status,test_status,figma_source_status,app_capture_status,overlay_status,pixel_diff_status,asset_status,visual_status,android_status,ios_status,notes
06-checkout-summary-4step-overview-v2-fr,309:679,checkout-summary,mayush-mobile/src/screens/checkout/CheckoutSummaryScreen.tsx,PASS,Cart & Checkout State,AsyncStorage,PASS,CAPTURED_393x852,CAPTURED_393x852,GENERATED,GENERATED,PASS,NEEDS_PIXEL_CORRECTION,BLOCKED_BY_ENVIRONMENT,BLOCKED_BY_ENVIRONMENT,393x852 captured. Baseline: 18.58% -> After: 18.61%
06-choose-address-saved-list-v2-fr,309:680,address-selection,mayush-mobile/src/screens/checkout/AddressSelectionScreen.tsx,PASS,Checkout State,AsyncStorage,PASS,CAPTURED_393x852,CAPTURED_393x852,GENERATED,GENERATED,PASS,NEEDS_PIXEL_CORRECTION,BLOCKED_BY_ENVIRONMENT,BLOCKED_BY_ENVIRONMENT,393x852 captured. Baseline: 19.48% -> After: 19.50%
06-add-new-address-form-v2-fr,309:681,add-address,mayush-mobile/src/screens/checkout/AddAddressFormScreen.tsx,PASS,Address Draft,Local State,PASS,CAPTURED_393x852,CAPTURED_393x852,GENERATED,GENERATED,PASS,MEASURABLE_IMPROVEMENT_STILL_NEEDS_PIXEL_CORRECTION,BLOCKED_BY_ENVIRONMENT,BLOCKED_BY_ENVIRONMENT,393x852 captured. Baseline: 11.94% -> Best: 11.33% (-0.61%)
06-add-address-validation-errors-fr,309:682,add-address-errors,mayush-mobile/src/screens/checkout/AddAddressFormScreen.tsx,PASS,Address Validator,Local State,PASS,CAPTURED_393x852,CAPTURED_393x852,GENERATED,GENERATED,PASS,MEASURABLE_IMPROVEMENT_STILL_NEEDS_PIXEL_CORRECTION,BLOCKED_BY_ENVIRONMENT,BLOCKED_BY_ENVIRONMENT,393x852 captured. Baseline: 15.50% -> Best: 14.46% (-1.04%)
06-city-selector-list-fr,309:683,city-selector,mayush-mobile/src/screens/checkout/CheckoutAddressStateScreens.tsx,PASS,Address Domain & Morocco Fixtures,Checkout Session,PASS,LIVE_FIGMA_VERIFIED,PENDING,PENDING,PENDING,PASS,FRONTEND_COMPLETE_WEB_CHECKED,IMPLEMENTED_WEB_CHECKED_NATIVE_VALIDATION_PENDING,BLOCKED_BY_ENVIRONMENT,Step 8G stable city IDs and deterministic search.
06-delivery-zone-selector-fr,309:684,delivery-zone-selector,mayush-mobile/src/screens/checkout/CheckoutAddressStateScreens.tsx,PASS,Address Domain & Delivery Fixtures,Checkout Session,PASS,LIVE_FIGMA_VERIFIED,PENDING,PENDING,PENDING,PASS,FRONTEND_COMPLETE_WEB_CHECKED,IMPLEMENTED_WEB_CHECKED_NATIVE_VALIDATION_PENDING,BLOCKED_BY_ENVIRONMENT,Step 8G city-zone compatibility enforced.
06-edit-address-form-fr,309:685,edit-checkout-address,mayush-mobile/src/screens/checkout/CheckoutAddressStateScreens.tsx,PASS,Canonical Address Domain,Checkout Session,PASS,LIVE_FIGMA_VERIFIED,PENDING,PENDING,PENDING,PASS,FRONTEND_COMPLETE_WEB_CHECKED,IMPLEMENTED_WEB_CHECKED_NATIVE_VALIDATION_PENDING,BLOCKED_BY_ENVIRONMENT,Step 8G shared validation and immutable order snapshots.
06-no-address-saved-empty-state-v2-fr,309:686,no-saved-address,mayush-mobile/src/screens/checkout/CheckoutAddressStateScreens.tsx,PASS,Canonical Address Domain,Derived State,PASS,LIVE_FIGMA_VERIFIED,PENDING,PENDING,PENDING,PASS,FRONTEND_COMPLETE_WEB_CHECKED,IMPLEMENTED_WEB_CHECKED_NATIVE_VALIDATION_PENDING,BLOCKED_BY_ENVIRONMENT,Step 8G empty state derives from zero addresses.
06-delivery-by-vendor-multi-seller-fr,309:688,delivery-by-vendor,mayush-mobile/src/screens/checkout/CheckoutDeliveryStateScreens.tsx,PASS,Cart Seller Projection & Checkout Delivery,Checkout Session,PASS,LIVE_FIGMA_VERIFIED,PENDING,PENDING,PENDING,PASS,FRONTEND_COMPLETE_WEB_CHECKED,IMPLEMENTED_WEB_CHECKED_NATIVE_VALIDATION_PENDING,BLOCKED_BY_ENVIRONMENT,Step 8G one checkout with per-seller delivery projections.
06-delivery-unavailable-address-error-fr,309:689,delivery-unavailable,mayush-mobile/src/screens/checkout/CheckoutDeliveryStateScreens.tsx,PASS,Deterministic Delivery Compatibility,Transient UI,PASS,LIVE_FIGMA_VERIFIED,PENDING,PENDING,PENDING,PASS,FRONTEND_COMPLETE_WEB_CHECKED,IMPLEMENTED_WEB_CHECKED_NATIVE_VALIDATION_PENDING,BLOCKED_BY_ENVIRONMENT,Step 8G unsupported zone blocks payment and preserves affected sellers.
