"source_folder","source_filename","figma_page","figma_section","figma_source_frame","figma_editable_frame","feature","screen","locale","state","screen_type","component_dependencies","prototype_flow","completion_status","notes"
"00-foundation","00-brand-essence-color-typography-summary.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-brand-essence-color-typography-summary.png","","Foundations","brand-essence-color-typography-summary","Shared","Default","Screen reference","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-brand-essence-color-typography-summary.png; dimensions: 1536x1024"
"00-foundation","00-brand-moodboard-ui-kit-overview.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-brand-moodboard-ui-kit-overview.png","","Foundations","brand-moodboard-ui-kit-overview","Shared","Default","Screen reference","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-brand-moodboard-ui-kit-overview.png; dimensions: 1122x1402"
"00-foundation","00-controls-form-components-icons.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-controls-form-components-icons.png","","Foundations","controls-form-components-icons","Shared","Default","Screen reference","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-controls-form-components-icons.png; dimensions: 1122x1402"
"00-foundation","00-design-system-10-section-overview.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-design-system-10-section-overview.png","","Foundations","design-system-10-section-overview","Shared","Default","Screen reference","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-design-system-10-section-overview.png; dimensions: 1536x1024"
"00-foundation","00-design-system-tokens-components-sheet.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-design-system-tokens-components-sheet.png","","Foundations","design-system-tokens-components-sheet","Shared","Sheet","Overlay","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-design-system-tokens-components-sheet.png; dimensions: 1122x1402"
"00-foundation","00-full-foundation-with-screen-previews.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-full-foundation-with-screen-previews.png","","Foundations","full-foundation-with-screen-previews","Shared","Default","Screen reference","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-full-foundation-with-screen-previews.png; dimensions: 1536x1024"
"00-foundation","00-navigation-layout-component-board.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-navigation-layout-component-board.png","","Foundations","navigation-layout-component-board","Shared","Default","Screen reference","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-navigation-layout-component-board.png; dimensions: 1122x1402"
"00-foundation","00-product-commerce-component-board.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-product-commerce-component-board.png","","Foundations","product-commerce-component-board","Shared","Default","Screen reference","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-product-commerce-component-board.png; dimensions: 1122x1402"
"00-foundation","00-ui-states-feedback-patterns.png","01 — Foundations & Variables","02 — Source Screenshots","SRC / 00-ui-states-feedback-patterns.png","","Foundations","ui-states-feedback-patterns","Shared","Default","Screen reference","TBD after editable reconstruction","N/A","Inventory complete — Figma import blocked by MCP plan limit","Source path: 00-foundation/00-ui-states-feedback-patterns.png; dimensions: 1122x1402"
"01-entry","01-language-selection-french-arabic.png","10 — Entry","02 — Source Screenshots","SRC / 01-language-selection-french-arabic.png","","Entry","language-selection-french-arabic","Shared","Default","Screen reference","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-language-selection-french-arabic.png; dimensions: 941x1672"
